"car","id","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"AMC Javelin","38e10609-d968-494a-b5c5-1b4137874309",15.2,8,304,150,3.15,3.435,17.3,0,0,3,2
"Cadillac Fleetwood","b9b84071-49ec-4d19-b80d-42562e60b13f",10.4,8,472,205,2.93,5.25,17.98,0,0,3,4
"Camaro Z28","7940e679-6fcf-404e-9484-2e02c9b7d257",13.3,8,350,245,3.73,3.84,15.41,0,0,3,4
"Chrysler Imperial","31c737bb-3370-4a00-9307-1efe5f7948e8",14.7,8,440,230,3.23,5.345,17.42,0,0,3,4
"Datsun 710","dd6aca5b-f4d2-40a1-857a-84883da417e8",22.8,4,108,93,3.85,2.32,18.61,1,1,4,1
"Dodge Challenger","45b5a034-c88b-47e8-b971-36533bc86d78",15.5,8,318,150,2.76,3.52,16.87,0,0,3,2
"Duster 360","bee672fd-0ef1-404b-bd7d-a51ed8d76af5",14.3,8,360,245,3.21,3.57,15.84,0,0,3,4
"Ferrari Dino","eb684411-09e1-47ab-b591-221ecb5dacfd",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6
"Fiat 128","4a2f4f51-5bdf-42c8-a081-2da49dcdd0d7",32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
"Fiat X1-9","0eeefdb0-93e8-460e-918e-4ad857b9739e",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
"Ford Pantera L","04899a29-d697-4b59-a72c-fc3d771a71b0",15.8,8,351,264,4.22,3.17,14.5,0,1,5,4
"Honda Civic","75913ca0-3c8a-4741-8024-8bf308092b13",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
"Hornet 4 Drive","d194699c-2e30-4098-9edc-103ae5bd0407",21.4,6,258,110,3.08,3.215,19.44,1,0,3,1
"Hornet Sportabout","1912be09-527b-4f54-a165-b32dee7b3c76",18.7,8,360,175,3.15,3.44,17.02,0,0,3,2
"Lincoln Continental","52541a5d-6df2-4225-b0c9-7b89efc7e707",10.4,8,460,215,3,5.424,17.82,0,0,3,4
"Lotus Europa","87aaff5e-0b02-47a8-952b-969721998806",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
"Maserati Bora","6019f423-202d-43b7-8b86-6dbf426fac01",15,8,301,335,3.54,3.57,14.6,0,1,5,8
"Mazda RX4","eb7ebedc-aac8-494a-b7e6-b301b800d89e",21,6,160,110,3.9,2.62,16.46,0,1,4,4
"Mazda RX4 Wag","5b359139-e52a-4a9e-a457-989a0a37a960",21,6,160,110,3.9,2.875,17.02,0,1,4,4
"Merc 230","08bb2c88-b6e2-4ca4-9b9e-2b99d4b8a062",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
"Merc 240D","e643fc3f-087a-45d6-b762-3fc54b2a75f5",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2
"Merc 280","7738db11-77b6-4809-add2-ef3d7e707809",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
"Merc 280C","273b1e35-093b-4b44-b587-7d7bedffdb38",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
"Merc 450SE","945849ae-f5e1-4b5e-8b03-3b626a4bbe8b",16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
"Merc 450SL","df11f0b5-f613-440f-89e6-8e67757f9077",17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
"Merc 450SLC","92fbc730-6f15-411a-a7aa-3692ec3b213e",15.2,8,275.8,180,3.07,3.78,18,0,0,3,3
"Pontiac Firebird","0cc79407-3433-4df6-9fd9-f8356320c538",19.2,8,400,175,3.08,3.845,17.05,0,0,3,2
"Porsche 914-2","6566bcc2-b5cc-472d-bb08-a54f67536e5e",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
"Toyota Corolla","42d9bb66-5603-4d0b-b16a-4b1888e0e19a",33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
"Toyota Corona","d87c783e-cb8e-413f-b96d-2d14e0e7b28a",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
"Valiant","a9390c25-dcaa-4461-8e4f-a033a43ff386",18.1,6,225,105,2.76,3.46,20.22,1,0,3,1
"Volvo 142E","0b8cdf6c-3917-489b-b52b-161e77cfb037",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2
